Token,SKU,GTIN,Price,Quantity
AHX6PNJ6HE2MAK4OTQYBQTRR,00125802,769493100016,2.25,33
F5CI7DTDZEUBBN74MRSUY5OZ,00125826,769493100078,2.25,50
TCV2ZZYETE5OVZMZPAKJZK2M,00125840,769493105035,3.25,48
X2XBLNJVSG6HDIGJZJCPIH6M,00127752,693741024758,49.95,2
KK6Q4E223KCXDN5XL6R7TDFZ,00128254,722252180681,3.49,16
MN7JY7A3JV4NY7SRRMNV4AQC,00134033,769493100092,2.25,57
CFK4CFT2QTKWRWTGIVHSOSIP,00140867,,34.95,0
PRZHMIDRHJ7S6CGIJDFVYJLX,00149389,,34.95,0
ZFBHDSFSH47PICLB4B5XSNXN,00149402,,34.95,0
OMXNENTAA3GT3DA7EBF5NNND,00149426,,34.95,0
UFC2OD2JBKN3DVRSKGKVAGAY,00149440,,34.95,0
CM2RHNER4NRWDGWDYQFCUH5A,00149464,,34.95,0
6R4KR4QLNA2QHL3WZQWVODJF,00149488,,34.95,0
DMXVWVXRDSEBYZ6YXKIEWSAL,00149501,,34.95,0
4PWI6S5AC5FYWFCPHARPN7VI,00155267,636257110478,70.0,1
MMKAKYGMTTHWMVNNUXOUIMRU,00155342,636257110485,70.0,2
BW6VILFXSZAHP3QDJMY56L5V,00158046,858787002010,39.99,0
74ME62VCUCVSIMDOPTZA3JJR,00160100,,1.91,81
RMHKX7G7QLMB4C77AEPO7TOL,00181662,674740001025,9.99,1
DM4N6CG4TOENJYDZOSWFKLTF,00181686,674740001032,9.99,1
IRQOXUBPRESTTFXDM7US2TZN,00181709,674740001018,9.99,1
QV7SOZWAF4OW4WFZL5YUJ2BS,00181723,674740001049,9.99,0
SARLZ6NK6KG7DDENWS6CHJXA,00181747,674740001056,9.99,4
F2TGU2C3HCS24DLLYB6YWF7O,00181785,674740001094,9.99,2
XBTTWU77UI3HRRQYJ63Y7XZI,00181808,717064882021,9.99,1
4OB55KAJ5LU73VGDHC4RMCGW,00181822,674740001117,9.99,1
7XH4YYU7FD4DW4FC57EZ4XMN,00181846,674740001131,9.99,1
EBXTDH66YDYC6UG6HQ27UAM3,00183307,722252500038,2.49,0
VRXDTI7LKTBN7KSCBXM7RDTY,00191289,893169002332,22.0,0
REGXDESKY5N335U5BBYNKJAW,00191302,893169002370,22.0,1
5RL5T2HPNDJ4TUEXVBF7VBVF,00191746,,30.0,0
X5OAYV53B4BEQ7RJVOUSLND6,00191760,,34.95,0
YLB6L3DSYWCTBIFME7HN2TCS,00200493,722252180643,3.49,27
GEQUB4KNDUGFR4JNBJVHAA4K,00208482,858787002379,68.99,0
U3B3BBV3R4JY6MU2JZAFJCUO,00210560,,14.99,0
RA5RSJDALOTHR25PM7XR5YUR,00215688,,30.0,0
RUL3HSG2UZ6R6S2BRDQWPW2J,00216180,717064883851,9.99,0
VCEW7F2RG3WVTA6F5UT3YCWG,00218603,,14.99,1
GKXGRUTEO324IX5EXG624ZV7,00218689,893169002363,22.0,1
GFFQLPJBW2FOC55QL3YLYLHI,00218702,893169002349,22.0,1
DREHHSJRXMZ6T2CI2SFGP7LN,00218726,,9.95,6
MUOGZEQETO7OVB7TOHCCMDOV,00238588,,14.99,0
5AYXGI6RBRQECRYXTXDWMJII,00240048,855111550049,15.0,2
6VPLPFCPNYR3KZ4OQW54WY5J,00248044,717064859924,30.0,0
NFRDP2D6GZO553M5VSDBTHGK,00248303,717064855483,30.0,2
6IR33UHMZG5OBU2UJX2YUQ6H,00248686,893169002356,22.0,1
YVG2PNL2Y6LODMHVZROOU537,00248709,893169002639,22.0,0
SSJQQHCQCRJSYQEYYMDUIVZO,00248723,893169002479,22.0,1
MN4ZTVFXFW7HALVXO5M5OZ75,00253963,4000354021108,29.99,0
OESBMP2ZU4WRMQV4PRUYHBB7,00260343,766338322329,21.0,1
NDTV2EXRANUGCVOG7A4PYVE4,00273176,766338322367,21.0,2
MHBBKNXXBX5KIZWKTNDS7BAE,00273213,766338322343,21.0,2
ND33RU3SUSPYOXPHTRTGG4MS,00277341,840557112661,15.0,3
H77JQNMNNAIC2ISVRHBODGZQ,00277365,855111555839,15.0,3
ZDG45DSKGK5W4HTSUTWXSF4N,00282741,086301574068,59.99,0
RHHOIGDFXXJUBLAHASPKJQQS,00283137,855111555846,15.0,2
UH434HJOSTC6MBKIEHT2UZYS,00283151,855111555815,15.0,0
XWWGEWBMFJTGUEBYR5TEAA7U,00289665,855111002180,24.99,1
S3S7Q7JVELNHGZE5NIESWZYW,00289689,855111002159,24.99,1
X2RDVWBVQHXOFFINV5PA5BAH,00289702,855111002166,24.99,1
SIXRROFJ62VHC6K66QO5WAWN,00307949,812068000539,22.0,3
SVNN7RVEB7E5SB2Y35FBJ66I,00312134,,34.95,0
RWMIH25UJFXABAYCVUJW2LIL,00315098,811660020778,9.0,17
KKG4BQQJTHIWKO2CV6CZ6GCD,00315135,811660020457,9.0,20
YN5T33VJUWSNBVFGJUZK2M36,00315159,811660020655,9.0,10
SOWUBVQMZUFGUL6FQKGW4ADR,00315173,811660020440,9.0,17
DJYYAYDR5I5KSG6AIY6SHEAO,00315197,811660020662,9.0,12
YPVPZXK3HX3N7NU7OL53B3FY,00324229,848282002462,64.95,0
OXOSRSX7RHOG6APRVJ7SCKDI,00324243,848282002059,64.95,1
VU7ZLG2W4R357DWBM3TALQMT,00324267,848282002486,64.95,1
D43YK4AO4J5SA2K23LRHX3OE,00324281,848282002493,64.95,1
IY2UMPWZHQK24PNQQJ45DKOY,00324304,848282002509,64.95,1
E4Y2BUFPGH7EVZJOCLJ6AU47,00324328,848282002516,64.95,1
TWV77UPEQTFCVQQYS3ROU6RT,00324342,817155013119,64.95,1
3MFDRCGDGCVMSW6NOFEIM763,00324366,817155013126,64.95,0
6DIO4J2KDWEGHIJ7MT2MBM72,00324380,817155013133,64.95,1
W7BUJQ6SZNTFQ6TPUZ42SFLW,00324403,848282002554,64.95,1
UNJT7C4VL4LA63FYANS4DP73,00324427,848282001786,64.95,1
JKFZC6AKIRYNVOZG2S7S2J5V,00329477,766338063406,14.0,1
HFNZ73DRQCMYM7WHWHNATMNV,00329514,766338862245,14.0,1
HXZBNIZDHVW6VWSUHX4FSHYQ,00330893,717064888085,11.0,2
XYNWT6YLUW5NEU523YP3VDEW,00335768,810497024515,14.99,5
ILHMEYP5V2H7VC4XR2GRNXD5,00352543,811660020648,9.0,15
4YSZFVRWGQHKDC3A4B2WPVNJ,00352567,811660020501,9.0,17
TNVLJ2KERZKICJEFBQL5TZF4,00359788,717064903764,27.0,1
IMFWB6LXOYSAPWSUHMHPDZWO,00360227,717064837847,33.0,2
DPPBIAWPAYBKZLMCW3J6YFZH,,780207220592,39.99,1
GLFYVFE7LOXQOTECEENYFCLX,00364157,780207003034,9.99,0
OV6RG3R3V7IL5CDHCH3QQ7VN,00364836,780207140319,89.0,0
VQI3FW6W7RBFB7RKNSNDAQXQ,00385329,,14.99,1
OARRJNZNWAFRZ6SCOI5LFQLR,00385343,,14.99,0
2VKTLUPFUMTL36ONVHKOPEUC,00385367,,14.99,1
GJ5TH2RDYFXYAG6HAIEJ4KKV,00385688,831653071396,13.99,0
TIVSZ7CTLY7H76UHHG5UOZWE,00385763,831653071372,13.99,0
GEVVGNJIDP46SET4LK4BGX64,00387996,793888973831,2.99,23
EEIHRUBCMEEH2O37KDU3KIZY,00388016,689076279031,29.99,4
SA2HJXZ35YYY3TAFPDGTMASM,00390392,210000039039,11.49,0
CMKFTQ377DE5BSYJ52EKHPG5,00390415,210000039041,11.49,0
WV4DJKYB5HDGX4YTCYG466R7,00390453,,11.49,0
ALP6CTLPPROHPXZKGAOGKMXY,00394697,858787002928,48.99,0
YHWH6WPI645ZXV3PJTVJRKB6,00394758,858787002966,32.99,0
PVIBQXOGSY7IGSIA6J2EV6DF,00399586,,31.99,0
WVOQKCDSWFBDOPBAXERERSRR,00416733,840557111473,9.0,2
NNGLQLMK6CTBWX3E5X3PNWNM,00417150,840557111459,18.0,0
AL43GVUGX3XIZ6EVDQN3OVDZ,00417174,840557111466,18.0,0
LGRSVKEPTGS4NLUUX2CYS7QM,00417259,840557110247,18.0,0
SCCHL5QFCOAR76PRDSCJMF7S,00417273,840557110254,18.0,2
ULVOJMHK6LR25VJOCNS36CU4,00417297,855111001251,18.0,1
B7MIJ4GQ5XKUUQIHCFOKLBWP,00421867,,14.99,1
TJHNN6BYG6JNO5RMPHVZNBIU,00422383,,14.99,0
3JACIUQ6ICZBHXWQU6BZ2CXN,00422420,,14.99,1
U3HKGHAQDTRIHE6AFMS35BTG,00422444,,14.99,2
ZELJX5JSM4ZFSJYMQSM36I6F,00424790,857879003096,22.0,1
G3QZMTVOJCCDBNZQJAKU7PJR,00425858,4049772031573,75.0,1
XR4D3LH5V35AG3O27ZW2IAFD,00425872,4049772031580,75.0,1
HWDI3IMCY7TABLZQMVIPWDRC,00425896,4049772031443,70.0,0
OSVLCJLMAC2VHUGSTTR5V6PF,00425919,4049772031450,70.0,0
3M2DHXF7W23ZS4TU66OLTNNP,00426138,4049772031337,20.0,1
DNEPUF7OQCQMGVQEVU7ABU36,00426176,4049772031351,20.0,1
ELJKIP4OXHUBYR357K72DXTL,00426251,4051526842977,35.0,1
MFZSUWZGNNNFUHVPN3Q4OFDH,00426275,4049772266951,70.0,0
SBGKJDPNH3NSC5IJU5UZGDL5,00426299,636257110461,70.0,1
4CK6BBLCMM4BZCYWHLZIU2ID,00426534,4026398999968,60.0,0
WOVWEAPES2PALQQQ3H72DPQ4,00426695,4026398999920,60.0,0
CDVA4YPXP5LG6CIK5VI2ZCWP,00430036,4026398742816,35.0,1
BNJXFIJYHQC46DPNXRC7BV5U,00430050,4026398742809,45.0,0
D5QFRKVN7UZNWAEGTJVIT5K3,00433709,,1.43,318
M6SY5UNLHHMXKI4DDRJBABI2,00433747,,0.0,47
6XHLLXSHXXY37KCDCXS2OYEG,00450454,762052833356,50.0,2
KE7D45X3CLPEEWFFC33F2MZ5,00452076,,34.0,5
4ZLFDM2KYYONT5SSMNYCNFZB,00452083,,34.0,4
VOGNABHQ2AWOBCYNYHZZENAO,00452144,,34.99,5
3SKOHLB5OXXQH3Y3SDYIPXDI,00456234,5060345221817,39.99,0
NN5YZF2MGH7DNAEH6AQJ4PQN,00456241,5060345221824,39.99,0
GFA2ACCIFSPWQDMIZEIKVD5W,00457309,,14.99,0
URAURQASJUI2NPIQ42OYBENK,00457842,,14.99,0
4J3R7BYKXM66OOCONQGUQEGX,00459143,762052897730,55.0,1
DZYPP6WI4VRVZVBTABXDZ7VM,00459969,840557111633,18.0,0
WGRHCKMOC7VULYEFIOET6MEL,00459976,840557115198,18.0,2
RUQQ3CNQZX3Q4NSKBOQX74OY,00459983,840557115204,18.0,2
DGU646ZUEDGHPLCLDRRKYPFU,00460026,840557115228,18.0,1
JV7RYQ72KY7B4CUQODL3ESQ5,00460033,840557121687,18.0,3
OAWV7HS74FQV2UHW7CDALH3T,00460040,840557115242,18.0,0
ZN7N4RFDPCC2FMGSHHK3CZKS,00461351,840557111626,18.0,2
AWZ4JM4ZLM5AW7QBOM63VMF3,00463225,4260180784015,59.95,1
ETJT4KOZHSFMEXMM6UKAWRNO,00463232,4260180784022,59.95,0
IJCNDYJVK4RJYR2XINJNM7IE,00463249,4260180784039,59.95,0
46TVQOI5PW2TEMLUCDR5FAA4,00463256,4260508970618,59.95,3
6MBKI2JO6WU2NPVI3RF4QKWQ,00463263,4260508970625,59.95,2
HFKUD2XVP3XTQG5FSSUP4BXW,00463270,4260508970632,59.95,1
JPS5Z2PPIPHP4APYUU37ANSG,00463287,4260508970649,59.95,3
R5BEOW344SPOXZE2JAA72VOX,00463294,4260508970557,59.95,1
ETBRCNVFG36ELMPGDNPPXB4C,00463300,4260508970564,59.95,3
RL4P5PLJIPKEYWNB4LF6V66A,00463317,4260508970571,59.95,4
NKPTWR3NSOKO5VR3QMQ3MULW,00463324,4260508970588,59.95,3
7RNNA4PNHMRRAIMCF6NSZQIG,00463331,4260508970595,59.95,2
C7OM2DVC2AWR7BPGOROABVBA,00463348,4260508970717,59.95,0
BZFERXLEAQAPNM3XBCN3UAH2,00463355,4260508970700,59.95,0
GOWVJVFTF4WV76KPD2KGJ2HI,00463362,4260508970694,59.95,0
5XR442LGRIIX3D23ATM2LMIW,00463379,4260508970687,59.95,3
SSTVKMBZQPDZM23UISUNHDKB,00463386,4260508970670,59.95,2
AM4WLTZW7Y6PIYFQ63USLXBP,00463690,,27.0,4
CCJB5UXDHUEJXKO7MITYIP6Y,00463720,,34.0,0
ASYDXDVJS4B2UBQZ2OU6LTZA,00463737,,34.0,6
ZOLKWWW27PSA6WFZL4CMGXWC,00464062,041468274657,2.75,0
E74RFT5PS5IFB5MAOGY3XZGW,00464123,041468314803,2.75,0
SKQV2RHCY3NW4SQPHKASOMFX,00464239,041468236822,24.0,0
TC665MWXMP6YYCACXI4CINPQ,00464246,041468236815,24.0,1
3T6V75LMKTHBAOJLMF6Q3Y3E,00464260,5060345221800,39.99,0
FE3FSMCR73YE73IFVVDPJ6GN,00464772,,19.99,2
G73SHZRY464D4W7IZWWGMSZ2,00464789,,19.99,2
M27EBNC3NRSPSPY7W4GLU63P,00464796,,19.99,2
YU4UFWE7NTG52CLF644JWFXH,00464802,,19.99,2
HHZCCXVJOLVLIRUX4ECNUJ6Y,00464901,780207160874,34.99,0
X3JHDUDO3SNNANMRZYBJ7K5P,00464925,780207161048,34.99,0
ISS3YDBNDSQRP2SWRP57YNED,00464987,780207161086,29.99,0
UZWCXO5V5BUU2POLI6BOO3OO,00465021,780207161116,29.99,0
7US4VKEZNDNTND2MNTXXPBWF,00465045,780207160744,29.99,1
TWNRS324WMMPAH3YD3POKPOH,00465069,780207216663,19.99,6
4BNKSB6VW3L5NS34CXAPWAMJ,00465106,780207216700,24.99,7
SXXNRHG3M3PYXQ64KQUUSE6C,00465175,856297006344,15.99,0
ZHDBJJJG2BOKRHQRP4BKHVHX,00465427,717064973996,13.0,17
LTKGV54OXMYGWR3PSLRF45GT,00466769,,14.99,1
Q4YNVUYAXIVEXCHQPUUA5SWZ,00469630,814179020130,24.0,2
2DFBB4MNWP3GVUH424IB6CQM,00469647,814179020222,9.99,0
YPMLTF57JVM4F443QJQTWF3N,00469753,761072918920,14.99,2
27UOA7F5QJQWVZJSZ3UH3FN7,00469760,761072918937,14.99,2
244DWOS5MUW3IMQWJ5G5MWTV,00469777,761072918944,14.99,2
7KBFLJ5PY4JW6Z63I2ZOGITH,00472074,717064912599,29.99,0
WLF6Y4HYWYX2AF7F3XJJTNOX,00474375,811660020631,9.0,17
MNLQM5RTUQFRT6GHUTTGTHFX,00476843,4260508970656,59.95,1
34ONTMYGQ5GL7T66USLPUZ6C,00476850,722252488565,3.49,0
QQQOF5QB4DGURCXND52KDVDP,00478779,811660020679,9.0,20
LFPNDY3ABOSDCWOMPNIR4KQR,00479394,810497026892,9.99,0
YNHKTDZAIRWQBNRRBNUUTANW,00479479,717064918621,33.0,2
OOPCMBIAAFVSZZXKE2637TQV,00481014,628451442066,55.0,1
7YKOU26VFH6YHM5APDMLG7X2,00481021,628451442042,55.0,2
KBHBIAFTH46HSJWTDLK4IWV2,00481038,628451442097,55.0,3
GGBC2XBXN6HPNYIXDUVGTEU6,00481045,628451442080,55.0,3
6UNH3CCPOTIGZFQWAWAX6H6G,00481052,628451442059,55.0,2
E7GPMC2NYAHDI523G74X4RAU,00481069,628451442035,55.0,1
4QBTT7S2EFJIAGAWTF47AHYU,00481083,628451442073,55.0,1
3IEZF5J4LXHVCKKAAMR2N4JQ,00481090,628451442103,55.0,2
MOAZZLQ7ZWIHUFQAIRSFZZCX,00481106,628451442028,55.0,1
SG5UIBGWO3P7FIIMPQ5V6CR7,00481199,628451442110,55.0,1
RAS6L63ZIJHFCUYMMYWZNILT,00482882,856231005754,2.99,13
JCJJMHC76E7Y3WT5ZZ74JGT2,00483551,722252160195,2.49,0
IW62FOYTYZMTQ3I2CP3MMZQT,00483803,,34.0,6
YO3K32VPPJEVWMG5J5646ASE,00483896,040232103070,0.96,46
LC3X2UE6IECW3FK7DSAQ44F7,00484220,856231005853,2.99,21
3X6GCKMHGF6HVO3OMLXBEDBV,00484268,769493101006,12.5,0
HS724AMSVFJ6HNSZZE4A4MLS,00486675,038472019459,74.99,0
H7C6MIQIABAHVK22WXKHGFVV,00486682,038472019466,74.99,0
6BYHGVI6UKF3ND4CEIKDB23N,00486699,038472019442,74.99,0
QDMVBE3YWQSJ7742TQDEUXLK,00486705,038472019435,74.99,0
32AVVRRN7KP3RUMACOZZ5JWW,00486712,038472019428,74.99,0
EE73WS7Y6BD7YY2F2XMOEXSU,00487351,780207222404,39.99,3
OCY3LRC3WHDNFPUFL4EDK37C,00487375,780207161598,29.99,1
S3KJKQS4UPEVOCZ5WTN64FZL,00487399,780207160591,39.99,0
IKTB4Z6ZMUE45RZSXNPNGOUR,00487412,780207160454,29.99,2
2KFEHQPELZQRF77A4KDB62YW,00487436,780207160959,29.99,1
BZVKNYTLX6222DCOICPQ3OIV,00487450,780207170262,34.99,0
26DIOX5PTSFPX5XWNFWDUHV2,00487474,780207170286,34.99,0
MOWANTRJ7JULDHVBD3LPBSH6,00487498,780207161628,39.99,1
EMCVYGPZEUISUA2YZGEVCE4K,00487511,780207160553,29.99,0
UVYW2GFFCUL5LXSCLC363326,00487627,766338229475,11.0,0
JLNMEY7LLYLBZDHFGJ64MGKF,00488945,717064921607,72.0,3
H6VPJR42F2RPEYSH7A2ICNBD,00489621,856297006337,15.99,0
FLMGSHHEOFPK4TXZLRCCJ6VV,00489751,737899592780,18.0,2
VKNH6NFHLKLAQOZDXZ7SPCA3,00489768,737899592803,18.0,4
PXI2ZVVGYRFLYTLHHN54FWQH,00489775,737899566385,18.0,2
2AH6HWWCPSBERHJG72ZQDMUH,00489782,737899566392,18.0,1
IHVGCVYPEVAZ3DPCYBP3JYPV,00489799,737899566378,18.0,3
EAPQVNXAEM5TASULWSASKBLG,00489805,737899566361,18.0,3
IASHPY2Z76W6OMKNICRUGKZ7,00490917,737899592797,18.0,3
7RSGKLM7VKNUWKIBNVPGHZ7O,00493338,737899592810,18.0,2
3DY7Y276T5ZZLS6S3ZKKEK4X,00494106,762052833370,50.0,1
YKRR76U6RKHMOQY3Z35UVW2F,00495318,812172026678,12.99,4
FNKUZXU6CZKN4QO46KSEVKIP,00495332,812172026685,13.99,0
COXJCO6XSEGNGGLZGBJTUZZL,00495448,717064917204,30.0,0
MZFN2C5HDM2IRUZ6OUQN35UB,00496421,,16.95,1
SI3VMNDE3NQXWWSZCJ5LECUN,00496438,,16.95,9
YRXFS6NFPCUDHQXANJIJEI4Z,00496469,854672007016,13.95,2
IOS2R7KOGC3BKSWHZGTZ3QOI,00496483,854672007009,13.95,1
PDKFM6ERA53YND26RNANWMGW,00496513,854672007139,13.95,3
VDCEMGHNA5IYSG4OW4G4FWA7,423725T,00571340,29.99,0
OIWC2XRKEF4VAKQRARPX2SXP,00496650,813231029845,18.0,2
GVHKJDTOZFE5FANYL333ZTAP,00496667,813231029852,18.0,1
4GTHKZ6HJHPOKZFESJQV7TSC,00496674,813231029869,18.0,1
TDICXSRZKZ4FV7GMP4OGHYVC,00496704,810031031634,18.99,0
AGLQ5SME5SDNFJWEIM72XE4L,00496711,810031031641,18.99,0
W63XWIW7L4BPRO3OPFOVM5IL,00496728,,18.99,0
JXMAAWYMWVUMI6LBQVLY2MQU,00497336,766338757909,11.0,3
F7JAWY62CUFY3UQ3T2IIU6IL,00497824,191264953604,42.99,0
YT4NPD3XQFPFXOIPETLIZKIS,00498128,780207170293,34.99,0
AXW7JCQQMZJXPQW6IE3II7DB,00498142,780207161093,29.99,0
WE4MFV3QLL56WG2JTI2D7BR5,00498166,780207160171,34.99,0
E5GIUBUPBHCPBW6WXZT2L3KD,00501736,812172020553,40.0,1
ZGQP2L6XLHA2NV4S3I6EUUWD,00501743,812172020591,40.0,2
3STRWC6V53LMJAW4UFNRLQGV,00501750,812172020584,40.0,1
H7E7AZB43OEWA3UZOJUVB3SO,00501767,812172020577,40.0,1
OVNWI2J4ORPWL7I3HQRBZUBV,00501774,812172020560,40.0,1
UGN4A66QCSEON5GYYUZNGMPU,00501989,737899566255,18.0,2
6DXNNNSQMFKX4AAPGBXIFZNN,00501996,737899566248,18.0,2
UQQ34ZYPFSCY24OF2JJTZRTP,00502009,737899566231,18.0,2
AZTUWRMA4VIMZVNKCXQ53SFB,00502016,737899566262,18.0,2
ENWV27XTQTVM6ZZGD2K3IL6S,00502030,,16.95,17
4HMRKMEXF4QLOIMYQIS4SMHM,00502047,,16.95,18
TNDC3YQO72XFC7YMQB4OST4U,00503143,,10.0,0
UFM4MOGXI5WBQWODBRC3IYPW,00503693,191986001065,74.99,0
VONCSRLHBOHTUCI7VFU5BAPR,00503952,814194015197,14.0,1
WUDYC3MAJDM4RNORZ5E7UC52,00503969,814194013766,9.99,3
ZBVDVLIKKFMSKLSUZILE4DI2,00503976,757791002477,16.0,1
74KDWSJDMQL5YTRMFLKKK3NA,00504041,814194012264,28.0,0
6LPIHQIO67UITA5JQT2TK6R6,00504072,814194012288,28.0,0
USZ7U6DAQV4XSNCO4F5YFIX4,00504089,814194012271,28.0,1
W3YX2YQU6MBOVQHJ5NLZINFM,00504096,814194012356,28.0,0
GDC5FMLN5PT3OWZDTPGJK5XR,00505192,210000050519,11.99,0
DUIRD36EVIDCPDLZ5JITAYDM,00506526,739655155284,54.99,0
U2HIVL3GGL2KIFQGQGY7CUXO,00506564,739655155260,54.99,0
7K3IM5XJXEGERLCQ4ITZBNL7,00506915,814179022585,9.99,4
2P2YYUT4O4SVX4YBPCB553HG,00506939,814179022257,9.99,2
DPZ6QFIXF5CY66ZH2JY5VDWH,00507356,5060345221831,39.99,0
YMKRP3QOAJ3COLUOVCFVM5VN,00507417,851524007231,24.99,1
XGDGAP2WCDVZ4S7D7DPQNP2W,00507424,851524007248,24.99,0
ZCOAPLMKR5HZU4XXY4OD7NYW,00507431,851524007255,24.99,1
NYHWJ5LXDODZQOE2BUVY7NIE,00507448,851524007262,24.99,1
BHLJNXNR7JEJ4OII62BD6VU5,00510462,190340279669,54.0,0
RSBP4LGDKOTECRE7XJFZ4MG6,00510905,190340278082,64.0,0
SJL4UOJDT52UVCSDJC32RQBO,00511896,,79.95,0
SJ44MUAJ4QOF76MGPMGE5QBF,00512978,840557121663,18.0,2
HEMUZE7TAOKV23DWKNKNVVHJ,00516983,210000051698,29.0,0
KQZJKL4RXSVNVE2R4KJOQEQ6,00517133,641938682090,58.0,1
XW2SEHWW3OA6FWHJPBQG5CMV,00517157,641938682120,58.0,1
PQTHAYGDW44EQNW7SMU6IZEF,00517164,641938682113,58.0,0
YRXOZ4GWROEYGJSZI5GORZC7,00518666,793888974937,2.99,0
QC7YKEB6WOUDHDYEYDI67PBS,00518680,689076343817,33.0,0
IJVYO5EPHWFTX7UN2Z2KGCX5,00519144,,27.99,0
2NCDSWXNBM5N3AOHOYM5D22O,00519168,,22.0,0
RD73WZH2ELBE34ZDM7KNBNYZ,00519175,,22.0,0
A7MTITOUWQT6I6ICPCNGJDQL,00519625,674740003036,9.99,1
62MPFTHMWOGGSQIPSWJXGD5G,00519632,674740001124,9.99,1
L2OH2WMEKKSEOUQFZSLIMXFX,00519694,210000051969,28.0,0
SMXSJDFGTHI6XZR6JH2ATB5R,00519717,210000051971,28.0,0
USMR6YHSUFUD4I6RQXQTFWXP,00519960,854672007023,13.95,2
JF4SQGGBIPIICMOPMREOOHX3,00519977,854672007061,13.95,1
BY6QWLEQOJVN7YRILSFRH7GI,00519991,854672007085,13.95,1
HJKIWQP6LJ5O6WDATUA2JZ3F,00520003,854672007467,13.95,2
327UYOSQ7TBB6W6LTSZUJ7MW,00520010,854672007047,13.95,1
RM5P3VSNPTQ4TNPWNEIGKTDR,00520058,210000052005,27.99,0
OR2OZEIJXCEODBMXZ42FEAFX,00520089,210000052008,27.99,0
I3FRMTPY22EHEFBXBLTYWGKO,00520096,210000052009,27.99,0
AOBMQAK7OM6K66NTL5S23GFN,00521703,210000052170,14.99,0
UBQWLFXDAZ5NOLNSCZX5DFLL,00521840,,12.99,0
TCGSVT7DNK5HQGH52J6VWOMO,00521857,816991020411,8.99,0
RKBW42MSJFHGG53XTNQHBRNA,00521956,,14.99,1
3YIOZWBHWZXLYWUTTDI3I6BZ,00523141,191264991842,32.99,1
67BUNSFGAL3Q5DI2WL3UPYWM,00523158,191264991828,32.99,0
GGS3ESFMRN42RFA4GUQXILC7,00523165,191264991811,32.99,1
U3GE24CSZA7CW3DJZBLSAFBZ,00523189,191264994195,32.99,0
WZLSIWZ47K7OVC7L3WMTSAFG,00523196,191264994188,32.99,0
ZZXSCSAQGFZ6SNLDV6NMSBPH,00523202,191264994171,32.99,1
CM3FTPMEMXFSVAB3MWV6MQFT,00524971,210000052497,31.99,0
7FYZ3CBEO6T2BJAL7STQ3PJN,00524988,210000052498,31.99,0
73B5X4DOPP3B2PM3LWRAXQIS,00524995,210000052499,31.99,0
WBNGBZWH6BV7SPE77NWXDPXG,00525008,210000052500,31.99,0
WAEF7PLYXJ7MOAIJGAGBH2MN,00525022,769493101051,3.25,0
CTIGIQNMAWEOUAXJ2TW2MIXR,00525817,814194014862,29.99,2
BW2GQXV3THGFXIHX32PKDQ5Y,00525848,814194017047,28.0,0
